Name,Msg File,FRM file,Prefix,Location,Mod,TH Mod,Status,VoiceActor,Description,AuditionLineA,AuditionLineB,AuditionLineC,WikiLink,ImageFile,InVockScope,Companion,CompanionMod
Chad,hcchad,"cha2
chad",chad,Broken Hills,VOCK,Talking Heads,Completed,Sn8kezz,"Broken Hill’s Caravan Master, Chad is a lean but tough wastelander who’s led many convoy runs across California. He tends to smile insincerely as if he’s hiding something.","Howdy, friend! What can I do for you?","Probably a hell of a lot more exciting than what you do with your life, jerkoff.",What the hell are you doin’ here?,https://fallout.fandom.com/wiki/Chad_(Fallout_2),hcchad.png,Yes,,
Dan,hcdan,danbh,danbh,Broken Hills,VOCK,Talking Heads,Auditioning,,"He is an inhabitant of Broken Hills. He also had a wife who hated mutants and ghouls. However, she got lost and he is looking for her.",Who are you? What are you doing in my house?,"The reason I ask, you see, is because my wife is missing. I don't know where she is. She's been gone for days. I've asked around town, and no one has seen her. Can you find her for me?",You don't mean to say that my life is in danger too? Oh dear. You may be right. I've been hearing noises outside the house at night. Whispers and shuffles.,https://fallout.fandom.com/wiki/Dan_(Fallout_2),hcdan.png,Yes,,
Doc Holliday,hcdoc,hol,hol,Broken Hills,VOCK,Talking Heads,Auditioning,,"Witty but sickly, Doc Holliday is the resident physician of Broken Hills. He always enjoys chatting with his patients, especially about the “good ol’ times”.",::wheeze:: Hi there. I'm Doc Holliday. How can I help you?,"That looks like it must have hurt. Going to hurt your wallet, too...","What do I do here? You're in a hospital. I'm wearing a doctor's coat. I'm covered with blood. There are sharp, pointy things lying all around. Either I'm a successful killer or a fair doctor. Take your pick.",https://fallout.fandom.com/wiki/Holliday,hcdoc.png,Yes,,
Eric,hceric,eric,eric,Broken Hills,VOCK,Talking Heads,Completed,KALLEKANNIBAL,"Eric is a greasy, sweating man. For some odd reason, his body exudes fly nutrients, causing flies to swarm around him whenever he sweats.",Sorry. I'm just a little on edge. All these damn flies and no air conditioning. If I just had a little more power I'd be able to shake 'em... but I don't.,,,https://fallout.fandom.com/wiki/Eric_(Broken_Hills),hceric.png,Yes,,
Francis,hcfranci,franc,franc,Broken Hills,VOCK,Talking Heads,Completed,David Pastore-Theriaque,"Francis is an old and bored Supermutant in the town of Broken Hills, a community where humans, ghouls and mutants live in harmony. He usually spends his days challenging unsuspecting strangers into arm wrestling matches. There may be a darker side to him.","You think you can take me, eh? All right. You win, you get this power fist. I win, and you're my gimp for a night.",I've heard about you. I don't associate with scum.,"Too bad we didn't crush your village when we controlled the wasteland. Get out of my sight, worm.",https://fallout.fandom.com/wiki/Francis_(Fallout_2),hcfranci.png,Yes,,
Jacob,hcjacob,jacob,,Broken Hills,THAT,Talking Heads,Completed,Martin L.,,,,,https://fallout.fandom.com/wiki/Jacob_the_Chemist,hcjacob.png,Yes,,
Marcus,hcmarcus,mrcus,,Broken Hills,FO2,Fallout 2,Completed,Michael Dorn,,,,,https://fallout.fandom.com/wiki/Marcus,hcmarcus.png,Yes,Yes,
Seymour,hcseymor,plant,plant,Broken Hills,VOCK,Talking Heads,Auditioning,,"Inside one of Broken Hills cornfields, The Chosen One can find Seymour the intelligent talking spore plant. He’s a lot more eloquent than he looks.","Hi! Nice weather we've been having, huh?","Very astute, friend, very astute. I can see you didn't germinate yesterday!","If you should happen to change your mind, you know where to find me. I've put down roots here. Ha ha ha! Just a little plant humor for you.",https://fallout.fandom.com/wiki/Seymour_(Fallout_2),hcseymor.png,Yes,,
Steve,hcsteve,steve,,Broken Hills,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Steve_(Broken_Hills),hcsteve.png,Yes,,
Typhon,hctyphon,typhn,,Broken Hills,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Typhon,hctyphon.png,Yes,,
Zaius,hczaius,zaius,zaius,Broken Hills,VOCK,Talking Heads,Work In Progress,sedatednerves,"Zaius is an old and tough supermutant in charge of the Broken Hills uranium mine. A no-nonsense individual, he prefers getting straight to the point.","Right. Well, I'm Zaius. Now that we're introduced You any good with your hands?",That's me. Smart guy. What's your problem?,"Well, I'm sorry, Mr. High and Mighty, but I think that the town's survival might be a little more important. Hurry it up, will you?",https://fallout.fandom.com/wiki/Zaius,hczaius.png,Yes,,
Aldo,kcaldo,aldo,aldo,Klamath,VOCK,Talking Heads,Auditioning,,"Aldo is a sickly man who wears very dirty robes. He is the Klamath's town greeter. He certainly knows lots about the town, but he will only tell the Chosen One about it once given some money. According to Aldo's dialogue, he is often drunk and uses the money he rakes in from greetings to buy more alcohol 'for his throat.'","Hello there, I haven’t seen you in Klamath before. I’m Aldo, the town greeter. (hic) It’s my job to greet anyone new in town and to answer any questions they might have about our bucolic little burg. Welcome to Klamath. (hic) Who might you be?","Thanks for the money, friend. (urp) I’m going to use it to get some (hic) medicine for my dry throat. Consider yourself officially (hic) greeted to the town of Klamath. Do you have any questions about our fair (urp) metropolis?","Here in Klamath some people farm, some raise brahmin, but trapping geckos is what most of the people do.",https://fallout.fandom.com/wiki/Aldo,kcaldo.png,Yes,,
Ardin Buckner,kcardin,ardin,ardin,Klamath,VOCK,Talking Heads,Auditioning,,"A popular figure in Klamath, Ardin is the tired but fit owner of the town’s local store and motel. She’s usually friendly and outgoing but recent events have taken a toll on her.",You better not be planning any mischief here. What do you want?,I shouldn’t have let him go. He’s two weeks later getting back than he said he’d be and I’m worried.,"Thank you for promising to look for my boy. I sure hope you can find him. I’m so worried about him. Hurry, please.",https://fallout.fandom.com/wiki/Ardin_Buckner,kcardin.png,Yes,,
"Chuck Dunton
Buck Dunton",kcdunton,buck,buck,Klamath,VOCK,Talking Heads,Cast,Richard Manzano - Sp3lunky,"Tall and heavily muscled, Chuck is identical to his brother Buck, to the point of using exactly the same phrases and mannerisms. They are Klamath’s resident bullies who spend their days causing trouble and drinking in the local pub.","You just better push off, or my brother and I are going to pound your little head into jam.",You worthless sack of gecko shit! Just what the hell are doing in our sight again?,"OK - here's the $50 and a little something extra for you, as well. A few sticks of Dunton's Drymeat.",https://fallout.fandom.com/wiki/Buck_Dunton,kcdunton.png,Yes,,
Jenny,kcjenny,jenny,jenny,Klamath,VOCK,Talking Heads,Completed,Kiti Celine,Jenny is the sultry but tired bathhouse worker in Klamath. Despite her busy schedule she always has time for a chat.,"Gee, mister, that was pretty quick. You must be pretty new at this sort of thing.","He always had extra money to blow, at least when he worked he did. See, he specialised in really old stuff. You know, technical thingies",The Den is a hive of scum and villainy southeast of here. I guess about a week or so?,https://fallout.fandom.com/wiki/Jenny_(Fallout_2),kcjenny.png,Yes,,
Maida Buckner,kcmaida,maida,maida,Klamath,VOCK,Talking Heads,Auditioning,,"Maida is the young and brash daughter of Ardin Buckner, she’s cold and condescending, always ready to chastise someone she doesn't deem hard working.","Tribals, humph! (mutter, mutter) ...shiftless, worthless, lazy…","Questions, huh? Well get on with it, then. Talking to you doesn’t get my work any closer to being finished.",The only way I know to create a Garden of Eden is through plain old hard work.,https://fallout.fandom.com/wiki/Maida_Buckner,kcmaida.png,Yes,,
Sajag,kcsajag,sajag,sajag,Klamath,VOCK,Talking Heads,Auditioning,,"A short swarthy man with a perpetual smile on his face, Sajag is a rather shifty character with contacts in the Den, which enable him to offer a greater range of goods than any other seller in the town. He is also highly persuasive, which, combined with his preference for deception, is well exploited to further develop his business.","Hello there, stranger. Welcome to the Golden Gecko Tavern, Hotel, and Trading Post. I’m Sajag; I run the place. What can I get for you?","You’re our kind of people. You came to the right tavern to spend your money. What can I do for you, pal?","Well, Bob’s getting in the way of certain business partners. I don’t mind the competition. (grins) But they sure do. I’ll pay $50 to a smart cookie that can tell me where the still is. No other action required. (smiles)",https://fallout.fandom.com/wiki/Sajag,kcsajag.png,Yes,,
Sally Dunton,kcsally,sally,sally,Klamath,VOCK,Talking Heads,Auditioning,,"“Big Nose” Sally Dunton runs Klamath’s bath house (and brothel), she's a shrewd woman who always puts business first.","My name's Sally Dunton, but mostly they call me Big Nose Sally. I'm the owner of this here bathhouse. We have a whole hassleful of special, attended baths for you to pick from.","Well, that's a right nice try for an idjit. But I ain't having none of your kind in here. Now, git out. Shoo, shoo.","You could use a bit of real scrubbing; don't you tribals know about soap? Oh well, that'll cost you $70.",https://fallout.fandom.com/wiki/Sally_Dunton,kcsally.png,Yes,,
Slim Picket,kcslim,slim,,Klamath,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Slim_Picket,kcslim.png,Yes,,
Smiley,kcsmiley,"smiley
smilw",,Klamath,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Smiley_(Fallout_2),kcsmiley.png,Yes,,
Sulik,kcsulik,sulik,,Klamath,FO2,Fallout 2,Completed,Greg Eagles,,,,,https://fallout.fandom.com/wiki/Sulik,kcsulik.png,Yes,Yes,
Torr Buckner,kctorr,torr,torr,Klamath,VOCK,Talking Heads,Completed,David Pastore-Theriaque,"Torr is Ardin’s son and Klamath’s very own village idiot. He’s an imposing man albeit quite “slow”, he has a kind heart and he’ll do anything to protect his “moo-moos”. If the Chosen One shares a similar intellect, their conversations will be quite “different”.",Bugmen take moo-moos at night. Torr scared! Help Torr?,"Torr thank. Bugmen bad, no let bugmen eat moo-moos!",Torr good. No hurt Torr…,https://fallout.fandom.com/wiki/Torr_Buckner,kctorr.png,Yes,,
Balthas,mcbaltha,bal,,Modoc,THAT,Talking Heads,Completed,gnetlemant-rex,,,,,https://fallout.fandom.com/wiki/Balthas,mcbaltha.png,Yes,,
Cornelius,mccornel,corn,corn,Modoc,VOCK,Talking Heads,Auditioning,,"Cornelius is Rose’s wife and co-owner of Modoc’s Bed and Breakfast. He seems to have a form of senile dementia, and it is hard to obtain any information from him as ""certain phrases seem to set him off"".","Welcome to Rose's Bed and Breakfast. My name is Rose -- I mean, Cornelius -- and I run this bed and breakfast.","A while back, I forget when... my best friend of 30… or was it 40 years? Oh, it doesn’t matter, what matters is that he stole my precious gold pocket watch.","Pog? Whatever happened to that game, anyway? Well, I have to go. Maybe we can play later.",https://fallout.fandom.com/wiki/Cornelius,mccornel.png,Yes,,
Davin,mcdavin,davin,davin,Modoc,VOCK,Talking Heads,Auditioning,,"Handsome but dumb, Davin is the outgoing brother of Miria. He also may turn out to be a companion/burden to the Chosen One.",It's a lie. I only go out to the barn at night to a... make sure everything is locked up.,"Wow, I never thought such a beautiful woman would try to seduce me. What! You're not a woman!",Dad runs the slaughterhouse. He's OK as far as fathers go.,https://fallout.fandom.com/wiki/Davin,mcdavin.png,Yes,Yes,
Farrel,mcfarrel,far,far,Modoc,VOCK,Talking Heads,Auditioning,,"Farrel is Cornelius's best friend for 30 or 40 years, he is easily irritable and won’t think twice about defending his property.",Now what!?,Thank you! You are truly a hero amongst heroes. Not many people would risk their lives for a total stranger.,"HA! If you think I'm so guilty, why don't you just shoot me and get it over with. You little punk, come and get me!",https://fallout.fandom.com/wiki/Farrel,mcfarrel.png,Yes,,
Grisham,mcgrisha,grish,grish,Modoc,VOCK,Talking Heads,Auditioning,,"Being the owner of Modoc's slaughterhouse, Grisham is still very active at his age. He’s father to Davin and Miria, two potential companions (and burdens) to The Chosen One.",The name's Grisham. Welcome to my slaughterhouse. You dropping off or picking up?,Smart as whip! You remind me of myself when I was young.,"Why, that's a fine looking animal you have there. Should make some fine jerky.",https://fallout.fandom.com/wiki/Grisham,mcgrisha.png,Yes,,
Jo,mcjo,jomod,jomod,Modoc,VOCK,Talking Heads,Auditioning,,"The de facto leader of the farming village of Modoc, Jo aims to lead his people through a devastating drought that recently struck his town. He intends to do so by any means necessary, including tricking unsuspecting travellers to do his bidding.","Oh, you must be new around here. Welcome to Modoc. My name's Jo, I run the trading post here at Modoc.","A rain dance? [He chuckles softly] No, no... of course not. I wouldn't ask you to do something as impossible as that. You really can't make it rain, can you... No, of course you can't!","Those monsters, they're stealing our children. We won't be safe until they're all dead.",https://fallout.fandom.com/wiki/Jo_(Fallout_2),mcjo.png,Yes,,
Jonny,mcjonny,jonny,,Modoc,THAT,Talking Heads,Completed,Mousepelt,,,,,https://fallout.fandom.com/wiki/Jonny,mcjonny.png,Yes,,
Laddie,mcladdie,lad,lad,Modoc,VOCK,Talking Heads,Auditioning,,"A smart and astute animal, Laddie is Balthas and Jonny’s dog.",Grrr..,Woof Woof!,*Pant* *pant*!,https://fallout.fandom.com/wiki/Laddie,mcladdie.png,Yes,Yes,
Miria,mcmiria,miria,,Modoc,THAT,Talking Heads,Completed,Ueichi,,,,,https://fallout.fandom.com/wiki/Miria,mcmiria.png,Yes,Yes,RPCE
Rose,mcrose,rose,rose,Modoc,VOCK,Talking Heads,Auditioning,,"Rose is the talented cook of Modoc’s Bed and Breakfast, there may be a secret behind her giant omelettes.","Welcome to Rose's Bed and Breakfast. My, aren't you the strapping young man. What can Rose help you with today?","When was the last time you had a good meal, young lady?","Oh, it's no secret. You just dip them in batter, add some salt and fry in grease.",https://fallout.fandom.com/wiki/Rose_(Fallout_2),mcrose.png,Yes,,
Vegeir,mcvegeir,veger,veger,Modoc,VOCK,Talking Heads,Completed,Joshua Luther,"Vegeir is the stoic leader of The Slags, a tribe of undergrounders and mutants who avoid the sun. He may be more reasonable than his appearance otherwise suggests.","A visitor - how convenient. I've been contemplating on a way to make contact with the surfacers, but now I don't have to worry about that -- thanks to your timely arrival.",You will go IF and WHEN I decide you can go. Not before.,Please enlighten us with your wisdom.,https://fallout.fandom.com/wiki/Vegeir,mcvegeir.png,Yes,,
Angela Bishop,ncangbis,abshp,,New Reno,THAT,Talking Heads,Completed,coolartist1110,,,,,https://fallout.fandom.com/wiki/Angela_Bishop,ncangbis.png,Yes,Yes,RPCE
Big Jesus Mordino,ncbigjes,bgjes,bgjes,New Reno,VOCK,Talking Heads,Cast,Enrico Leone,"Big, sweaty and intimidating, Big Jesus is the owner of the “Desperado” casino and Boss of the Mordino crime family in the city of New Reno, a den of vices, gambling and drugs. He controls the production and distribution of Jet. He likes being called “Mr. Mordino”.",I… am Jesus Mordino. You…will address me as SENOR Mordino. (A bead of sweat trickles down his forehead.) What… is your business with me?,You have come to… my casino. My home. You have shown me… no respect. You will LEARN.,"Very well. I… have work for you. Take… (Takes a deep wheezing breath, wipes sweat from his forehead.) …this package... to the *stables* north of Reno.",https://fallout.fandom.com/wiki/Big_Jesus_Mordino,ncbigjes.png,Yes,,
John Bishop,ncbishop,bishp,bishp,New Reno,VOCK,Talking Heads,Auditioning,,"Head of one of the most powerful crime families in New Reno, Mr. Bishop is a brutal but cunning man. He hopes to bring the “organised” back into “organised crime”, no small feat in a post apocalyptic world. Of the 4 bosses in New Reno he, by far, is the most brutal.",You got some balls coming in here.,"Ol' Tomcat says you're a team player. I need people like that. I got a job for you, if you're interested.","If you mess this up or if ANYONE hears about this deal,  and I'm gonna put a knife wound on your body for every chip you asked for.",https://fallout.fandom.com/wiki/John_Bishop,ncbishop.png,Yes,,
Christopher Wright,ncchrwri,cw,cw,New Reno,VOCK,Talking Heads,Completed,Halyze,"One of Orville’s many sons, Christopher runs the Wright's still operation in New Reno. He tends to have a short temper and go off whenever somebody crosses his family or says bad stuff about it.",You ain't heard of Family *Wright?* You musta been out in the desert too long. Family Wright is the biggest crime family in Reno. We're gonna rule this city.,"Well, now. (He spits on your feet.) Why don't you make yourself useful and lick that up, you piece of dogshit?",How do you go to the bathroom with that thing on?,https://fallout.fandom.com/wiki/Christopher_Wright,ncchrwri.png,Yes,Yes,RPCE
Eldridge,nceldrid,eld,eld,New Reno,VOCK,Talking Heads,Auditioning,,Eldridge is a heavily armed man covered with grease. He is the resident gun-nut of New Reno. He has a massive weapon collection on the walls he's extremely fond of and continuously seeks out ways to expand it. He has incredible knowledge of pre-war weaponry and will upgrade (for a price) The Chosen One’s arsenal.,"Welcome, traveler… Eldridge's the name. You in the market for some iron to fill that holster of yours?",Shooooo-eeee. ::Rubs eyes:: That Power Armor?!,"Oh...we got us a discrimnatin' customer, eh? Well, at times, some prize pieces do make their way through town...take this, for example. (Holds up something...odd.) Genuine pre-war tech. Innit something?",https://fallout.fandom.com/wiki/Eldridge,nceldrid.png,Yes,,
Ethyl Wright,ncethwri,ew,ew,New Reno,VOCK,Talking Heads,Auditioning,,"A pleasantly plump woman with rose cheeks, Ethyl is the matriarch of the Wrights and lives in a world almost entirely of her own making. She’s somehow completely oblivious of her family’s criminal activities.","Oh, you poor dear…don't you have a home?","New Reno is a beautiful city, but there is SIN here - much of which can be traced back to the evils of alcohol…or as you tribesmen call it… (Pauses dramatically.) …FIREWATER!",Why...my goodness! Of all the cheek!,https://fallout.fandom.com/wiki/Ethyl_Wright,ncethwri.png,Yes,,
Father Tully,ncftully,tully,,New Reno,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Tully,ncftully.png,Yes,,
Jagged Jimmy J,ncjimmyj,jimmy,jimmy,New Reno,VOCK,Talking Heads,Auditioning,,"One of New Reno’s many chem dealers, Jimmy is a shifty-looking man with a jagged scar running down the side of his face as a result of trying to shave while high on Jet, although he prefers to say that he received the scar in a courageous act of chivalry.","Brother, I had my eye on you since you walked down the street. You know what I see? I see a pilot. I see someone who wants to FLY. You just need a little help, a little' JET.","Jagged Jimmy J's got a lot of love, my pilot friend, but the world don't always love Jagged Jimmy J back, see?",There goes one bad muthuh…and Jimmy J knows a bad muthuh when he sees one.,https://fallout.fandom.com/wiki/Jagged_Jimmy_J,ncjimmyj.png,Yes,,
Jules,ncjules,jules,jules,New Reno,VOCK,Talking Heads,Auditioning,,"Flamboyant and rapacious, Jules is a chem dealer and the self imposed “greeter” of New Reno. A good source of information although not very trustworthy, but in New Reno who is?","If you ain't talked to Jules, you don't know HALF of what New Reno gots to offer.",Hallelujah! I always KNEW you would be the hero! I KNEW it!,"Well, now, ANOTHER thing you gotta know about New Reno is nothin's free.",https://fallout.fandom.com/wiki/Jules_(Fallout_2),ncjules.png,Yes,,
Keith Wright,nckeiwri,keith,keith,New Reno,VOCK,Talking Heads,Completed,dar_duck,"Thin and blond-haired, Keith Wright is a wary man who takes his job seriously. He clears visitors to his father and ensures that the Wright Estate remains secured.","I don't know you, my Dad don't know you, and if you don't start explainin', it ain't gonna matter.","You ken go in, but watch out. Dad's in a pissy mood.","Get outta here, dimbulb. Next time you talk to me, I'll plug you fulla holes.",https://fallout.fandom.com/wiki/Keith_Wright,nckeiwri.png,Yes,,
Miss Kitty,nckitty,kitty,,New Reno,THAT,Talking Heads,Completed,Katie,,,,,https://fallout.fandom.com/wiki/Miss_Kitty,nckitty.png,Yes,,
Leslie Anne Bishop,nclabish,lbshp,lbshp,New Reno,VOCK,Talking Heads,Auditioning,,"Mr. Bishop’s disinterested wife, she’s a sophisticated woman victim of New Reno’s decadent lifestyle. She seems to have lost her lust for life and is in a constant search of satisfaction.","You're not terribly bright… However, you do have a certain…charm. Come with me a moment.","A simple traveller. How remarkably open and trusting of you. And what, pray tell, do you think I can do for you, ""simple traveller?","I leave, and my husband will bring me back. The Family watches out for their own, whether they want to be watched or not.",https://fallout.fandom.com/wiki/Leslie_Anne_Bishop,nclabish.png,Yes,,
Lil' Jesus Mordino,ncliljes,ljmrd,,New Reno,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Lil%27_Jesus_Mordino,ncliljes.png,Yes,Yes,RPCE
Mason,ncmason,mason,,New Reno,THAT,Talking Heads,Completed,Krimson Graey,,,,,https://fallout.fandom.com/wiki/Mason_(Fallout_2),ncmason.png,Yes,Yes,RPCE
Darlin' Nikki,ncnikki,nikki,,New Reno,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Darlin'_Nikki,ncnikki.png,Yes,,
Orville Wright,ncorvill,write,write,New Reno,VOCK,Talking Heads,Auditioning,,"Head of the Wright crime family, his group has the distinction of being the only real “family” as it comprised of: he, his wife and multitude of sons and daughters. Orville is a passionate man and puts his family before anything, sometimes to his detriment.","Come into my house, will you…","Now look: You find that son of a bitch who killed my boy, don't you touch 'im…you just come back and TELL me the dead man's name. I'LL take care of it from there.",Marriage ain't a word. It's a life sentence.,https://fallout.fandom.com/wiki/Orville_Wright,ncorvill.png,Yes,,
Renesco,ncrenesc,rene,,New Reno,THAT,Talking Heads,Completed,Krimson Graey,,,,,https://fallout.fandom.com/wiki/Renesco,ncrenesc.png,Yes,,
Marjorie Reed,ncresear,marj,marj,Stables,VOCK,Talking Heads,Auditioning,,"A cold and calculative woman, Marjorie Reed is the Lead Researcher on chem production for the Mordino crime family. She has little to no empathy for human life as she sees everyone as a potential “test subject”.",Why did the slave in the control group kill herself? We weren't even testing her!,"Oh, I’m not THAT busy…heh…well, no, pretty busy. I mean, mostly its routine drug testing, and occasionally we have a slave go over the edge…",Was that some poor attempt at a joke?,https://fallout.fandom.com/wiki/Marjorie_Reed,ncresear.png,Yes,,
Louis Salvatore,ncsalvat,salva,,New Reno,THAT,Talking Heads,Completed,SoldierHobbes,,,,,https://fallout.fandom.com/wiki/Louis_Salvatore,ncsalvat.png,Yes,,
Stuart Little,ncstulit,stul,,New Reno,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Stuart_Little,ncstulit.png,Yes,,
T-Ray,nctray,tray,tray,New Reno,VOCK,Talking Heads,Auditioning,,"Confident and able-bodied, T-Ray is the vain owner of a New Reno automobile repair shop. Despite his cheerful demeanour, he is not somebody you’d want to mess with.","DAMN, woman. After I hit those skins, you go off and save the world. That's T-Ray's power for you.","Yo, hero. You be sure to tell everyone that T-Ray's your man, aiight?",Fast? The Highwayman goes from 0 to 60 in less than a second.,https://fallout.fandom.com/wiki/T-Ray,nctray.png,Yes,,
Myron,nhmyron,myron,,Stables,FO2,Fallout 2,Completed,Jason Marsden,,,,,https://fallout.fandom.com/wiki/Myron,nhmyron.png,Yes,Yes,
Ariel,ocariel,ariel,ariel,Vault 13,VOCK,Talking Heads,Auditioning,,"Short and slender, Ariel is a young mother residing in Vault 13. Her caravan was attacked by raiders who killed most of the crew, including her husband. She was rescued just in time by the intelligent deathclaws of Vault 13, who now protect her and her daughter.","Hello, I'm Ariel. I don't think I've seen you here before. Who are you?","Yes. They provide me with food, water, shelter, and protection. I feel very safe here, and that's more than I could ask for..","The raiders, they were incredibly brutal. They killed everyone: men, women, and children. Rand, my husband, died trying to defend Sandy and me.",https://fallout.fandom.com/wiki/Ariel,ocariel.png,Yes,,
Goris,ocgoris,goris,goris,Vault 13,VOCK,Talking Heads,Auditioning,,"Goris is a scholarly Albino Deathclaw, he and his tribe are a rare species who have equal intelligence to humans. He loves reading and trading stories.","Yes, I've had some adventures. Say, if you wouldn't mind answering some questions for me, I could tell you some of my adventures in return.","It seems this Enclave needed an army and they chose deathclaws because of their ferocity, physical prowess, and... well, you get the picture.","Uh huh. Well, your IQ may be smaller than your shoe size, but you obviously have something going for you to have survived in the world this long…",https://fallout.fandom.com/wiki/Goris,ocgoris.png,Yes,Yes,
Gruthar,ocgrutha,gruth,gruth,Vault 13,VOCK,Talking Heads,Auditioning,,"Strong and majestic, Gruthar is the leader of his pack of uniquely intelligent Deathclaws. Despite his frightening appearance he’s a pacifist and only wishes for his tribe to live in peace.","Do not fear me, human. I do not intend to harm you. I am Gruthar, leader of this deathclaw pack. Why have you come here?","You are no idiot, human. I can see the truth of this in your eyes.","It is not our way to kill. I understand that you may not believe me, but I hope that you will judge me by my actions toward you and not out of fear or prejudice.",https://fallout.fandom.com/wiki/Gruthar,ocgrutha.png,Yes,,
Joseph,ocjoseph,josep,josep,Vault 13,VOCK,Talking Heads,Auditioning,,"Joseph is a herbalist who serves as the doctor for the residents of Vault 13, namely the deathclaws which inhabit it. From his time among them, he has become very knowledgeable about their species.","Hello, I'm Joseph the herbalist. What can I help you with?","Why, certainly. Hmmm. You'll need to take some of this. I'll apply this balm to the wound. Now just lie back and rest for a couple of hours.","No, I'm not a prisoner. I stay because I'm needed here.",https://fallout.fandom.com/wiki/Joseph_(Fallout_2),ocjoseph.png,Yes,,
Vice President Bird,qcbird,bird,bird,Enclave Oil Rig,VOCK,Talking Heads,Auditioning,,Daniel Bird is the Vice President of the Enclave but an experiment gone wrong took a toll on his mental faculties leaving him in a permanent state of mumbling to himself and talking in circles.,"Hmm, tell me, how do you spell potato? With an 'E,' or without?","Carry on, trooper. The future will be better tomorrow.","That's not true, Republicans understand the importance of bondage between a mother and child. That's the key to the solution of all our problems-we need a return to family values.",https://fallout.fandom.com/wiki/Daniel_Bird,qcbird.png,Yes,,
Charles Curling,qccurlng,curl,curl,Enclave Oil Rig,VOCK,Talking Heads,Auditioning,,"Lieutenant Colonel Doctor Charles Curling is the head of the United States Chemical Corps stationed on the Enclave Oil Rig base. He’s the lead researcher on the Enclave’s project to eradicate all mutant life, which includes regular wastelanders.",Interesting. I didn't realize that the toxin made them dumber.,"In order to make the United States safe for humanity, all of the mutants must first be exterminated.","Isn't it obvious, my mutated friend? The F.E.V. is, thanks to me, a lethal toxin.",https://fallout.fandom.com/wiki/Charles_Curling,qccurlng.png,Yes,,
Frank Horrigan,qcfrank,bosss,,Enclave Oil Rig,FO2,Fallout 2,Completed,Michael Dorn,,,,,https://fallout.fandom.com/wiki/Frank_Horrigan,qcfrank.png,Yes,,
Sergeant Granite,qcgranit,grani,grani,Enclave Oil Rig,VOCK,Talking Heads,Auditioning,,"Granite commands the Enclave Control Company, a specialized unit usually assigned to perimeter defense. Despite his loyalty to the Enclave, recent events may challenge his beliefs.",Lock and load. Let's go!,"Now, just what the hell are you doing here?","Gee, you've got me shaking in my boots. Shut up.",https://fallout.fandom.com/wiki/Granite,qcgranit.png,Yes,,
Dick Richardson,qhprzrch,presi,,Enclave Oil Rig,FO2,Fallout 2,Completed,Jeffrey Jones,,,,,https://fallout.fandom.com/wiki/Dick_Richardson,qhprzrch.png,Yes,,
Mayor Ascorti,rcascort,ascor,ascor,Redding,VOCK,Talking Heads,Auditioning,,"Characterised by his slicked back hair and friendly smile, Ascorti is the mayor of the mining settlement of Redding and owner of its decadent casino named after him. A greedy man who’ll do anything for a profit.","Everyone's an Ace here at Ascorti's! I'm Ascorti, proprietor and mayor of this fine town.","I can sell it to you for only $1,000. Special offer; just your luck to hit me on a generous day like this.","If you're here to try your luck, you're welcome.",https://fallout.fandom.com/wiki/Ascorti,rcascort.png,Yes,,
Painless Doc Johnson,rcdrjohn,docj,docj,Redding,VOCK,Talking Heads,Auditioning,,"Originally from Vault City, Doc Johnson is the nervous and slightly sadistic doctor of Redding.",You have a very well developed sagittal crest.,"Got yourself all scraped up, huh? Well, let Doc Johnson take a look at that. Easy now, I'm a professional.","Wouldn't let that go too long. Some wounds fester and start oozing puss. Then there's always gangrene. Course, lately, I haven't used my knives as much as I'd like. Getting a bit rusty. Tell you what: Go ahead and let it go as long as you want. Maybe I can get some practice later on.",https://fallout.fandom.com/wiki/Johnson_(Fallout_2),rcdrjohn.png,Yes,,
Fannie Mae,rcfannie,"fannc
fanni",fanni,Redding,VOCK,Talking Heads,Auditioning,,"Showing more wear from mileage than from years, Fannie Mae is a prostitute working at Lou’s “Malamute Saloon”. She has a crippling dependence to Jet (a deadly drug) and has no scruples tricking the dim-witted into fueling her addiction.",Fannie don't flop for no morons.,"Hey there, lover. I'm feeling a little under the weather lately. Want to give me some money for a quick boost?","Jet's the only thing that makes me fly. ./~Come fly with me ./~ Give me a little something special, won'tcha?",https://fallout.fandom.com/wiki/Fannie_Mae,rcfannie.png,Yes,,
Obidiah Hakeswill,rchakes,obad,,Redding,THAT,Talking Heads,Completed,Dylan_B_VO,,,,,https://fallout.fandom.com/wiki/Obidiah_Hakeswill,rchakes.png,Yes,,
